path,kind,size_bytes,sha256,supports_questions
evidence/manifests/upstream-module-blobs-v8_2_0.txt,manifest,88728,8c5dd058dd3b5a4514177ec7dc4a4622d502d97de46b50e78da58fe24c147afa,Q36;Q70
evidence/raw/claimrev-source/CHANGELOG.md,raw_command_output,8178,c38a7ba831b1dfd0ab56da7ecd96e0dfffba8c54065d4f25749ca780c5bfe126,(supporting)
evidence/raw/claimrev-source/cleanup.sql,raw_command_output,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,(supporting)
evidence/raw/claimrev-source/composer.json,raw_command_output,684,453d840d3cfe9186d8b27cdc0e91456f85e8514bf169bee5c97618913bb49986,(supporting)
evidence/raw/claimrev-source/info.txt,raw_command_output,33,b33becbbea88c0615e7c8b80602aad2976ba5ccefc909152ec2c47051d4dc9af,(supporting)
evidence/raw/claimrev-source/moduleConfig.php,raw_command_output,959,4871daad1e554eb28ef63870f4a5bd5177a6e09280d704880b48a02aad16d1da,Q36;Q70
evidence/raw/claimrev-source/ModuleManagerListener.php,raw_command_output,5325,ae53a8c793b739265cea0dd6a780960bdc48712b589f25b3e37ff37900f204e1,Q36;Q70
evidence/raw/claimrev-source/openemr.bootstrap.php,raw_command_output,887,13b03b8408cf3b49da9fd8e29c3fae11131208bc3d8c33776fbab4d344fe5aa9,(supporting)
evidence/raw/claimrev-source/README.md,raw_command_output,16843,89f39b3911a5caed974b3fb7c7424427b72dbcf7b8c2548637f6c27d6b2c20df,(supporting)
evidence/raw/claimrev-source/src__Billing_Claimrev_Service.php,raw_command_output,1322,6b0cebca5bacf72e0cb0f7c810fc6b0900dc2e57184de6870d626861acf83332,Q31;Q66
evidence/raw/claimrev-source/src__Bootstrap.php,raw_command_output,13241,85a4ceb69f5a5e59587f7cc6c85b3314e06645474349608822a43023b2c6efb5,(supporting)
evidence/raw/claimrev-source/src__ClaimRev_Notification_Service.php,raw_command_output,1065,23dc212274913f8ed8cfc50e11c35a04e8fa6760bc641b539f3a0ffa2b3ba601,Q31;Q66
evidence/raw/claimrev-source/src__ClaimRev_Watchdog_Service.php,raw_command_output,1067,92ff5a0dd56c2f7dd0581b21b442b3d1a0db56411353683c23a2a2098c3eca3d,Q31;Q66
